,Date Time,Tick Number,Open,High,Low,Close,Cumulative Volume,Cumulative Buy Volume,Cumulative Sell Volume,Cumulative Ticks,Cumulative Dollar Value,Threshold,VPIN
5148,2023/01/17 10:54:50.000,335297,14700.0,14710.0,14680.0,14680.0,1007090.0,373508.0,633582.0,48,14794582780.0,1000000,0.2582430567277999
5149,2023/01/17 10:55:32.000,335343,14680.0,14720.0,14670.0,14680.0,1037602.0,556339.0,481263.0,46,15246411310.0,1000000,0.07235529615401666
5150,2023/01/17 10:57:27.000,335397,14680.0,14690.0,14660.0,14680.0,1007752.0,216154.0,791598.0,54,14790042070.0,1000000,0.5710174725527709
5151,2023/01/17 10:58:53.000,335474,14680.0,14680.0,14640.0,14640.0,1049785.0,188573.0,861212.0,77,15389377000.0,1000000,0.6407397705244408
5152,2023/01/17 11:00:31.000,335577,14640.0,14650.0,14600.0,14600.0,1028016.0,191717.0,836299.0,103,15026135440.0,1000000,0.6270155328321738
5153,2023/01/17 11:02:08.000,335642,14600.0,14650.0,14570.0,14650.0,1004992.0,585887.0,419105.0,65,14673930610.0,1000000,0.16595355982933196
5154,2023/01/17 11:05:44.000,335708,14640.0,14660.0,14620.0,14630.0,1018971.0,740530.0,278441.0,66,14922271060.0,1000000,0.45348591863752746
5155,2023/01/17 11:06:08.000,335758,14630.0,14630.0,14600.0,14600.0,1008198.0,250206.0,757992.0,50,14726321360.0,1000000,0.5036570197520726
5156,2023/01/17 11:07:58.000,335824,14600.0,14610.0,14580.0,14580.0,1006171.0,290183.0,715988.0,66,14680099380.0,1000000,0.4231934730776379
5157,2023/01/17 11:11:16.000,335901,14600.0,14600.0,14580.0,14580.0,1003337.0,424239.0,579098.0,77,14637062900.0,1000000,0.154343954224752
5158,2023/01/17 11:12:55.000,335977,14580.0,14600.0,14560.0,14560.0,1008453.0,262330.0,746123.0,76,14698357240.0,1000000,0.4797377765746148
5159,2023/01/17 11:13:45.000,336057,14560.0,14580.0,14540.0,14540.0,1006288.0,145476.0,860812.0,80,14645795590.0,1000000,0.7108660741258964
5160,2023/01/17 11:15:24.000,336129,14540.0,14580.0,14510.0,14530.0,1017455.0,164168.0,853287.0,72,14790648310.0,1000000,0.6772967846243815
5161,2023/01/17 11:19:14.000,336207,14550.0,14570.0,14520.0,14570.0,1019117.0,506357.0,512760.0,78,14819390350.0,1000000,0.006282889992022506
5162,2023/01/17 11:25:28.000,336322,14570.0,14620.0,14540.0,14600.0,1009363.0,332573.0,676790.0,115,14708728460.0,1000000,0.3410239923595377
5163,2023/01/17 11:31:24.000,336397,14610.0,14620.0,14580.0,14580.0,1007180.0,328003.0,679177.0,75,14705413490.0,1000000,0.34867054548342896
5164,2023/01/17 11:34:57.000,336488,14590.0,14590.0,14550.0,14550.0,1035108.0,90599.0,944509.0,91,15070739360.0,1000000,0.8249477349223463
5165,2023/01/17 11:36:33.000,336597,14550.0,14560.0,14510.0,14510.0,1019419.0,183195.0,836224.0,109,14807214270.0,1000000,0.6405893945472863
5166,2023/01/17 11:37:08.000,336700,14510.0,14510.0,14490.0,14500.0,1021410.0,328425.0,692985.0,103,14810817260.0,1000000,0.35691837753693423
5167,2023/01/17 11:40:39.000,336784,14500.0,14560.0,14480.0,14530.0,1008344.0,739206.0,269138.0,84,14631133060.0,1000000,0.46617820902390456
5168,2023/01/17 11:44:03.000,336856,14530.0,14600.0,14520.0,14520.0,1055945.0,109745.0,946200.0,72,15351008680.0,1000000,0.7921387951076997
5169,2023/01/17 11:46:36.000,336907,14520.0,14560.0,14510.0,14550.0,1048701.0,696860.0,351841.0,51,15250681600.0,1000000,0.3289965395284261
5170,2023/01/17 11:48:36.000,336969,14550.0,14570.0,14520.0,14570.0,1090475.0,631920.0,458555.0,62,15865628970.0,1000000,0.15898117792705013
5171,2023/01/17 11:50:13.000,337020,14570.0,14600.0,14550.0,14550.0,1027351.0,581858.0,445493.0,51,14971694230.0,1000000,0.1327345765955355
5172,2023/01/17 11:57:51.000,337167,14600.0,14640.0,14550.0,14560.0,1022000.0,480231.0,541769.0,147,14918734670.0,1000000,0.0602133072407045
5173,2023/01/17 12:03:54.000,337266,14560.0,14620.0,14560.0,14620.0,1035908.0,752755.0,283153.0,99,15124287340.0,1000000,0.45332404035879637
5174,2023/01/17 12:06:09.000,337354,14620.0,14680.0,14620.0,14680.0,1055096.0,712644.0,342452.0,88,15458404130.0,1000000,0.35086096431035657
